hardclip_k_dbfs	hardclip_sse	under_k_dbfs	under_sse
-38.9706473214	30.1126341085	-38.9706473214	0.260521813211
-38.9172433036	30.0631306798	-38.9172433036	0.260976746617
-38.8638392857	30.0138561516	-38.8638392857	0.261433958228
-38.8104352679	29.9648137287	-38.8104352679	0.261893424089
-38.75703125	29.9160065937	-38.75703125	0.262355119937
-38.7036272321	29.8674379067	-38.7036272321	0.262819021207
-38.6502232143	29.8191108047	-38.6502232143	0.263285103035
-38.5968191964	29.7710284008	-38.5968191964	0.263753340264
-38.5434151786	29.7231937833	-38.5434151786	0.264223707446
-38.4900111607	29.6706659426	-38.4900111607	0.264649781132
-38.4366071429	29.6123727323	-38.4366071429	0.265022714307
-38.383203125	29.5542185723	-38.383203125	0.265398342843
-38.3297991071	29.4962075887	-38.3297991071	0.265776655908
-38.2763950893	29.4383439142	-38.2763950893	0.266157642278
-38.2229910714	29.3806316875	-38.2229910714	0.266541290345
-38.1695870536	29.3230750526	-38.1695870536	0.266927588107
-38.1161830357	29.2656781576	-38.1161830357	0.267316523177
-38.0627790179	29.2084451544	-38.0627790179	0.267708082774
-38.009375	29.1513801976	-38.009375	0.268102253732
-37.9559709821	29.0944874436	-37.9559709821	0.268499022492
-37.9025669643	29.0377710499	-37.9025669643	0.268898375107
-37.8491629464	28.9812351744	-37.8491629464	0.269300297239
-37.7957589286	28.9248839742	-37.7957589286	0.269704774162
-37.7423549107	28.8687216052	-37.7423549107	0.270111790763
-37.6889508929	28.8127522206	-37.6889508929	0.27052133154
-37.635546875	28.7569799708	-37.635546875	0.270933380604
