t_ms	level_dbfs
220.583333333	-40.1714285714
220.666666667	-40.1714285714
220.75	-40.1714285714
220.833333333	-40.1714285714
220.916666667	-40.1714285714
221	-40.1714285714
221.083333333	-40.1714285714
221.166666667	-40.1714285714
221.25	-40.1714285714
221.333333333	-40.1714285714
221.416666667	-40.1714285714
221.5	-40.1714285714
221.583333333	-40.1714285714
221.666666667	-40.1714285714
221.75	-40.1714285714
221.833333333	-40.1714285714
221.916666667	-40.1714285714
222	-40.1714285714
222.083333333	-40.1714285714
222.166666667	-40.1714285714
222.25	-40.1714285714
222.333333333	-40.1714285714
222.416666667	-40.1714285714
222.5	-40.1714285714
222.583333333	-40.1714285714
222.666666667	-40.1714285714
222.75	-40.1714285714
222.833333333	-40.1714285714
222.916666667	-40.1714285714
223	-40.1714285714
223.083333333	-40.1714285714
223.166666667	-40.1714285714
223.25	-40.1714285714
223.333333333	-40.1714285714
223.416666667	-40.1714285714
223.5	-40.1714285714
223.583333333	-40.1714285714
223.666666667	-40.1714285714
223.75	-40.1714285714
223.833333333	-40.1714285714
223.916666667	-40.1714285714
224	-40.1714285714
224.083333333	-40.1714285714
224.166666667	-40.1714285714
224.25	-40.1714285714
224.333333333	-40.1714285714
224.416666667	-40.1714285714
224.5	-40.1714285714
224.583333333	-40.1714285714
224.666666667	-40.1714285714
224.75	-40.1714285714
224.833333333	-40.1714285714
224.916666667	-40.1714285714
225	-40.1714285714
225.083333333	-40.1714285714
225.166666667	-40.1714285714
225.25	-40.1714285714
225.333333333	-40.1714285714
225.416666667	-40.1714285714
225.5	-40.1714285714
225.583333333	-40.1714285714
225.666666667	-40.1714285714
225.75	-40.1714285714
225.833333333	-40.1714285714
225.916666667	-40.1714285714
226	-40.1714285714
226.083333333	-40.1714285714
226.166666667	-40.1714285714
226.25	-40.1714285714
226.333333333	-40.1714285714
226.416666667	-40.1714285714
226.5	-40.1714285714
226.583333333	-40.1714285714
226.666666667	-40.1714285714
226.75	-40.1714285714
226.833333333	-40.1714285714
226.916666667	-40.1714285714
227	-40.1714285714
227.083333333	-40.1714285714
227.166666667	-40.1714285714
227.25	-40.1714285714
227.333333333	-40.1714285714
227.416666667	-40.1714285714
227.5	-40.1714285714
227.583333333	-40.1714285714
227.666666667	-40.1714285714
227.75	-40.1714285714
227.833333333	-40.1714285714
227.916666667	-40.1714285714
228	-40.1714285714
228.083333333	-40.1714285714
228.166666667	-40.1714285714
228.25	-40.1714285714
228.333333333	-40.1714285714
228.416666667	-40.1714285714
228.5	-40.1714285714
228.583333333	-40.1714285714
228.666666667	-40.1714285714
