order	f0_hz	py_minus_swift_db	py_minus_analytic_db	swift_minus_analytic_db
3	5390.24672176	7.1054273576e-15	-1.38971079622e-06	-1.38971080332e-06
3	6099.39718938	-3.5527136788e-15	1.46368404401e-05	1.46368404437e-05
3	6901.84475668	-3.5527136788e-15	-0.000217872564782	-0.000217872564779
3	7809.86375641	1.06581410364e-14	-0.000112669805244	-0.000112669805254
3	8837.34335443	3.5527136788e-15	0.000195808644722	0.000195808644719
5	30	-2.13162820728e-14	-2.76592364159e-05	-2.76592363946e-05
5	33.9468534794	2.13162820728e-14	4.1659951961e-05	4.16599519397e-05
5	38.4129620384	-7.1054273576e-15	-4.38064698471e-06	-4.38064697761e-06
5	43.4666398009	2.13162820728e-14	2.11955864415e-06	2.11955862284e-06
5	49.1851884187	0	-1.85598657509e-06	-1.85598657509e-06
5	55.6560794869	-7.1054273576e-15	9.26382575983e-07	9.26382583089e-07
5	62.9782925193	4.26325641456e-14	4.50281746112e-07	4.50281703479e-07
5	71.2638289511	-2.84217094304e-14	-2.50151856562e-07	-2.50151828141e-07
5	80.6394253261	1.42108547152e-14	6.95773252346e-08	6.95773110237e-08
5	91.2484918736	-2.13162820728e-14	2.63638796127e-07	2.63638817444e-07
5	103.253306128	-2.84217094304e-14	2.34391777099e-08	2.34392061316e-08
5	116.837495147	-3.5527136788e-14	2.9068587537e-08	2.90686230642e-08
5	132.208844288	3.5527136788e-14	9.17594888961e-10	9.17559361824e-10
5	149.602475524	2.13162820728e-14	-1.20844276807e-08	-1.2084448997e-08
5	169.284443893	-6.39488462184e-14	2.27860894597e-08	2.27861534086e-08
5	191.555807105	-7.1054273576e-15	1.5383463392e-08	1.53834704975e-08
5	216.757230564	0	-9.21772880247e-10	-9.21772880247e-10
5	245.274198219	0	-9.42740996379e-10	-9.42740996379e-10
5	277.542908974	-4.97379915032e-14	-5.89453463817e-09	-5.89448490018e-09
5	314.056948839	2.13162820728e-14	5.10055997438e-10	5.10034681156e-10
5	355.374840881	-2.13162820728e-14	-3.42757999761e-09	-3.42755868132e-09
5	402.128588455	3.5527136788e-14	-6.21290752179e-09	-6.21294304892e-09
5	455.033342405	5.68434188608e-14	-4.44256187393e-09	-4.44261871735e-09
5	514.898340095	-7.81597009336e-14	-6.75306210951e-09	-6.75298394981e-09
5	582.6392836	7.1054273576e-15	-4.88897455853e-09	-4.88898166395e-09
5	659.29234639	-7.1054273576e-15	-3.77183795308e-09	-3.77183084765e-09
5	746.030022766	8.52651282912e-14	-7.55983364797e-09	-7.5599189131e-09
5	844.179062469	0	-7.9156095012e-09	-7.9156095012e-09
5	955.2407648	6.39488462184e-14	-6.74584299531e-09	-6.74590694416e-09
5	1080.91394267	7.1054273576e-14	-9.25023613263e-09	-9.2503071869e-09
5	1223.12090786	-4.97379915032e-14	-1.24649801592e-09	-1.24644827793e-09
5	1384.03687489	-2.84217094304e-14	-4.7519890245e-09	-4.75196060279e-09
5	1566.1232334	7.1054273576e-14	-7.04464042656e-09	-7.04471148083e-09
5	1772.16519783	-4.97379915032e-14	-8.43458280997e-09	-8.43453307198e-09
5	2005.3144104	1.13686837722e-13	-7.25621873698e-09	-7.25633242382e-09
5	2269.137149	1.35003119794e-13	-6.63795418632e-09	-6.63808918944e-09
5	2567.66887739	7.1054273576e-14	-6.09134076512e-09	-6.0914118194e-09
5	2905.47597214	-6.39488462184e-14	-5.73520964053e-09	-5.73514569169e-09
5	3287.72557047	2.84217094304e-14	-5.49223955204e-09	-5.49226797375e-09
5	3720.26460738	7.81597009336e-14	-1.57732102934e-08	-1.57732884531e-08
5	4209.70925104	2.84217094304e-14	8.66558913515e-07	8.66558885093e-07
5	4763.54610453	-7.1054273576e-14	1.44461398293e-05	1.44461399003e-05
5	5390.24672176	7.81597009336e-14	0.000190201090113	0.000190201090035
5	6099.39718938	4.97379915032e-14	0.000745909616185	0.000745909616136
5	6901.84475668	7.1054273576e-14	-0.0446236535727	-0.0446236535727
5	7809.86375641	8.52651282912e-14	-0.0259004057264	-0.0259004057265
