bin	input_E2	output_E2	input_A4	output_A4	input_C7	output_C7
184	-0.4898495299628915	-0.4962927469463489	-0.4882372215770081	-0.15404246730793078	-0.4846438158089753	-0.4574249720410778
185	-0.4915189879948394	-0.49463113590441393	-0.490130406340558	-0.14218469934717745	-0.4883764658427859	-0.4543014294340491
186	-0.4937021882590095	-0.49357040806648683	-0.49163787062086434	-0.1302449997347821	-0.4908704299163194	-0.45004079656458407
187	-0.4947760461498625	-0.4913223114048333	-0.4937089371965874	-0.11844377127088206	-0.4916693844939195	-0.44418502266286264
188	-0.495924943199138	-0.4891884668518503	-0.49504452557337125	-0.1070908851318592	-0.49199759862024856	-0.43793369269825416
189	-0.4972778102189575	-0.48729493672233215	-0.49513023487198193	-0.09483439057414637	-0.4951773361646689	-0.4342056180382885
190	-0.4973930357159517	-0.4841035921315227	-0.495794770061151	-0.08271276880534686	-0.49265500218504527	-0.4255131171672286
191	-0.49813978999770336	-0.4816180241919827	-0.49625358171912376	-0.07118510619317706	-0.49467905129932005	-0.42074190024922237
192	-0.4976655152030448	-0.4778658453814003	-0.4967342137822914	-0.05900912659538003	-0.4961306442194691	-0.41544087359795234
193	-0.49780868348065455	-0.47478882502105085	-0.496246445692748	-0.04671712956785695	-0.49348140194540463	-0.40671603063695055
194	-0.4967393679416889	-0.47047188630345005	-0.49527866599793535	-0.03439120588130376	-0.49370224141465563	-0.4003720431212819
195	-0.49627156155809016	-0.46680947824594354	-0.4950243113712851	-0.02210264370950829	-0.49260286592494057	-0.3929827122858965
196	-0.4946188218133558	-0.46195388574456847	-0.49311447705387557	-0.01038639557806631	-0.4917010119103554	-0.3857248256738886
197	-0.4930741682488356	-0.4572385229039203	-0.49154078345132957	0.0019481575477390753	-0.48936892813286026	-0.3773523926773416
198	-0.49176587133252925	-0.4527740649215271	-0.4899596320866016	0.014290022436961711	-0.4891017959949869	-0.37055323309120186
199	-0.4891515256036098	-0.4470339205514027	-0.4881516986448695	0.025978986546348296	-0.48705067810399655	-0.3623996849465126
200	-0.48726004553773966	-0.44203775962221603	-0.48611009968006247	0.038316218280920196	-0.48307882549427283	-0.35283217950019063
201	-0.48407278362183115	-0.4357815188056775	-0.4832896305793898	0.05060161998307165	-0.4804329665314626	-0.3442539800754947
202	-0.48157629761973847	-0.4302271915610972	-0.4799184022865633	0.06282570341228869	-0.47901950533829996	-0.33655029324655844
203	-0.4778201445885812	-0.42347261836935035	-0.4763915228085643	0.07501191821846634	-0.4751170283620902	-0.3270643573313062
