bin	input	output	ellipse_input	ellipse_output	residual
204	-0.47473913144009505	-0.612443098054172	-0.47352313850623795	-0.639035299459048	0.02659220140487606
205	-0.47042697620098384	-0.6026784897313563	-0.46969619608080193	-0.6267757642639216	0.02409727453256527
206	-0.466751969174935	-0.5935288937406783	-0.46558632622991886	-0.6141390398130281	0.02061014607234979
207	-0.4618934297290781	-0.583294087133318	-0.4611960045855089	-0.6011327379966592	0.017838650863341243
208	-0.4571734101776362	-0.5731877932476853	-0.4565278757131659	-0.5877646933246916	0.014576900077006294
209	-0.45270760047464853	-0.5633124326083958	-0.45158475151917027	-0.5740429582073732	0.010730525598977358
210	-0.44697051559913353	-0.5522390494823226	-0.4463696095567009	-0.5599757981048497	0.007736748622527045
211	-0.44195549863851963	-0.5418321395851092	-0.44088559123226934	-0.5455716865483616	0.0037395469632524048
212	-0.43571230276468764	-0.5302348378937639	-0.43513599991345353	-0.5308393000361062	0.0006044621423423324
213	-0.43014698279138514	-0.5192372307704428	-0.4291242989390729	-0.5157875128068393	-0.0034497179636034936
214	-0.42339532135816355	-0.5070613165643795	-0.42285410953300256	-0.5004253914943649	-0.006635925070014537
215	-0.4172966242485364	-0.4954543126129938	-0.416329208622883	-0.48476218966613516	-0.010692122946858618
216	-0.4100730039855321	-0.4827004039001315	-0.40955352656504085	-0.46880734224924636	-0.013893061650885163
217	-0.40300346500765	-0.470005400299114	-0.40253114477698865	-0.45257045984719235	-0.01743494045192162
218	-0.3961765861240289	-0.4574339404673831	-0.3952662932789318	-0.4360613229507961	-0.021372617516587034
219	-0.3881809244024061	-0.44365195770058324	-0.38776334814576213	-0.4192898760468068	-0.024362081653776457
220	-0.3808926751380711	-0.43042911088048896	-0.3800268288710752	-0.402266221627716	-0.028162889252772938
221	-0.37245622818712026	-0.41596075477283107	-0.3720613956447948	-0.38500061410638975	-0.030960140666441316
222	-0.3646779481021842	-0.40198240095338167	-0.36387184654604954	-0.3675034536391959	-0.03447894731418577
223	-0.35582894340215737	-0.38681744775111065	-0.35546311465298963	-0.34978527986133934	-0.03703216788977132
224	-0.34760241973502004	-0.3720829118315746	-0.34684026507128485	-0.33185676553817856	-0.04022614629339605
225	-0.33835007319454635	-0.3561627425015177	-0.33800849188309395	-0.31372871013635134	-0.04243403236516635
226	-0.32966271066290287	-0.3405954630039849	-0.3289731150183442	-0.2954120333185801	-0.045183429685404786
227	-0.32005608663744495	-0.3239498475165729	-0.31973957705020456	-0.27691776836607535	-0.04703207915049756
228	-0.310584050976296	-0.30720870822077456	-0.31031343991668264	-0.25825705553249934	-0.04895165268827523
229	-0.30134495111955867	-0.29044954462861133	-0.3007003815703219	-0.23944113533349393	-0.05100840929511741
230	-0.291141054209118	-0.27254229657324286	-0.2909061925580143	-0.22048134177581377	-0.05206095479742909
231	-0.28151800425316814	-0.2549381864850149	-0.28093677253299326	-0.20138909553014708	-0.05354909095486779
232	-0.2710244307963598	-0.23628052768776006	-0.27079812670110087	-0.18217589705172643	-0.05410463063603363
233	-0.261032006924964	-0.2178007687792423	-0.26049636220347794	-0.1628533196528876	-0.054947449126354686
234	-0.2502383628019195	-0.19834278474764272	-0.25003768443784996	-0.14343300253173782	-0.054909782215904895
235	-0.23991456567062003	-0.17902492930993338	-0.2394283933206279	-0.12392664376113843	-0.05509828554879495
236	-0.22887275674191526	-0.15883028936260718	-0.22867487949207374	-0.10434599324222321	-0.05448429612038397
237	-0.21794357561000702	-0.13844245549745193	-0.21778362046681804	-0.08470284562669689	-0.053739609870755045
238	-0.20718210869709605	-0.1178817822201201	-0.20676117673204722	-0.0650090332121786	-0.05287274900794149
239	-0.19574740732743848	-0.09658725274289455	-0.1956141877957114	-0.045276418814867825	-0.051310833928026725
240	-0.18473957103507813	-0.07531009814203478	-0.18434936818713307	-0.02551688862382734	-0.04979320951820744
241	-0.1731006234578985	-0.05335873691078687	-0.17297350341242523	-0.005742345041187258	-0.047616391869599616
242	-0.1618326847782981	-0.031365745563717747	-0.16149344586715805	0.014035300487414748	-0.045401046051132495
243	-0.15003579329405473	-0.008881700777513352	-0.1499161107087294	0.03380413464784662	-0.042685835425359975
244	-0.13856047821924883	0.013696234677685316	-0.13824847169093427	0.05355224943361456	-0.039856014755929245
245	-0.12661627793704805	0.03665054072437936	-0.1264975569632358	0.07326774931880115	-0.03661720859442179
246	-0.11478123401093053	0.059733717100224314	-0.11467044483727101	0.09293875842348556	-0.03320504132326125
247	-0.10301980484097385	0.08307219628945466	-0.10277425952314037	0.11255342766732951	-0.029481231377874853
248	-0.09091229014719251	0.106435136557166	-0.09081616683805006	0.13209994190702035	-0.025664805349854353
249	-0.07901871916734589	0.13004923190750203	-0.07880336988989174	0.15156652705327117	-0.02151729514576914
250	-0.06682973162844323	0.15355506500941063	-0.06674310473835954	0.1709414571630925	-0.017386392153681873
251	-0.054828206779246505	0.17729171844583166	-0.05464263603621792	0.19021306150306216	-0.0129213430572305
252	-0.04261263367590376	0.20073617586844986	-0.04250925265334829	0.20936973157933603	-0.00863355571088617
253	-0.030509246825273603	0.22448210061843724	-0.030350263286203626	0.2283999281301749	-0.003917827511737665
254	-0.018272765689305043	0.2477384780603971	-0.018172992055324803	0.24729218807676143	0.0004462899836356615
255	-0.006109072935308442	0.2712965472504708	-0.005984774093563786	0.26603513142813084	0.005261415822339965
