bin	input	output	truth
239	-0.19574740732743848	-0.3724666393297566	-0.3726481790858994
240	-0.18473957103507813	-0.35340802979229424	-0.353536039347879
241	-0.1731006234578985	-0.33286817725744644	-0.3330023203858718
242	-0.1618326847782981	-0.3127238929888912	-0.31281739797991126
243	-0.15003579329405473	-0.29128376909996284	-0.29137812261807505
244	-0.13856047821924883	-0.2701737843303628	-0.2702383721760787
245	-0.12661627793704805	-0.24789279236422873	-0.2479548985209332
246	-0.11478123401093053	-0.2255634433699731	-0.2256131322547363
247	-0.10301980484097385	-0.20314017281617164	-0.20317266340181958
248	-0.09091229014719251	-0.17981831322665018	-0.1798470100500621
249	-0.07901871916734589	-0.15671645856178387	-0.156734745623528
250	-0.06682973162844323	-0.13285449719976816	-0.1328691746176209
251	-0.054828206779246505	-0.10920995072655507	-0.10921899509560679
252	-0.04261263367590376	-0.08501313468246785	-0.08501952487555453
253	-0.030509246825273603	-0.06093920552957949	-0.06094287709541304
254	-0.018272765689305043	-0.036527258881010154	-0.036529270289176595
255	-0.006109072935308442	-0.012216927945550213	-0.012217537919402426
